file      ,AGGREGATE_BLOCKING_SINK:AggComputeTime ,AGGREGATE_BLOCKING_SINK:AggFuncComputeTime ,AGGREGATE_BLOCKING_SINK:GetResultsTime ,AGGREGATE_BLOCKING_SINK:ResultGroupByAppendTime ,AGGREGATE_DISTINCT_BLOCKING_SINK:AggComputeTime ,AGGREGATE_DISTINCT_BLOCKING_SINK:GetResultsTime ,AGGREGATE_DISTINCT_BLOCKING_SINK:ResultGroupByAppendTime ,AGGREGATE_DISTINCT_STREAMING_SINK:AggComputeTime ,AGGREGATE_DISTINCT_STREAMING_SINK:GetResultsTime ,AGGREGATE_STREAMING_SINK:AggComputeTime ,AGGREGATE_STREAMING_SINK:AggFuncComputeTime ,AGGREGATE_STREAMING_SINK:GetResultsTime ,EXCHANGE_SINK:NetworkTime ,EXCHANGE_SINK:OverallTime ,EXCHANGE_SINK:SerializeChunkTime ,EXCHANGE_SINK:ShuffleChunkAppendTime ,EXCHANGE_SINK:ShuffleHashTime ,EXCHANGE_SINK:WaitTime ,HASH_JOIN_BUILD:BuildHashTableTime ,HASH_JOIN_BUILD:CopyRightTableChunkTime ,HASH_JOIN_BUILD:RuntimeFilterBuildTime ,HASH_JOIN_PROBE:OutputBuildColumnTime ,HASH_JOIN_PROBE:OutputProbeColumnTime ,HASH_JOIN_PROBE:SearchHashTableTime ,LOCAL_PARALLEL_MERGE_SOURCE:OverallStageTime ,LOCAL_SORT_SINK:BuildingTime ,LOCAL_SORT_SINK:OutputTime ,LOCAL_SORT_SINK:SortingTime ,OLAP_SCAN:IOTaskExecTime ,OLAP_SCAN:IOTaskWaitTime ,OLAP_SCAN:PrepareChunkSourceTime ,OLAP_SCAN:ScanTime ,OLAP_SCAN:SubmitTaskTime ,PROJECT:CommonSubExprComputeTime ,PROJECT:ExprComputeTime ,RESULT_SINK:AppendChunkTime
3811.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                   41.351 ,                   71.569 ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                 25.287 ,
452.sql   ,                               187.870 ,                                   174.378 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                453.631 ,                                    289.964 ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               64.115 ,                                      ,                            104.906 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
5412.sql  ,                               184.013 ,                                    18.193 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                 65.235 ,                                       ,                               62.872 ,                                      ,                             47.323 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
5567.sql  ,                               152.288 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  370.685 ,                                 ,                                     ,                              ,               313.107 ,                                   ,                                        ,                                       ,                               69.010 ,                                      ,                             79.522 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
563.sql   ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 2522.000 ,                         749.188 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                    981.007 ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,                    831.487
5773.sql  ,                                55.887 ,                                           ,                                 8.035 ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                108.469 ,                                     96.632 ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
5904.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                531.571 ,                                    218.597 ,                                        ,                  527.892 ,                 2412.000 ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                              221.591 ,                                      ,                            783.552 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
6021.sql  ,                               198.890 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  227.797 ,                                 ,                              24.369 ,                              ,                       ,                                   ,                                        ,                                       ,                               98.295 ,                                      ,                            108.887 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
6725.sql  ,                                74.520 ,                                           ,                                 8.685 ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                4.657 ,                                      ,                             23.874 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
6793.sql  ,                               158.433 ,                                    27.304 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  178.897 ,                                 ,                              19.810 ,                              ,                       ,                                   ,                                        ,                                       ,                               76.322 ,                                      ,                             87.021 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
6876.sql  ,                                75.427 ,                                           ,                                16.447 ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                   25.541 ,                  132.709 ,                                 ,                              20.303 ,                              ,                       ,                                   ,                                        ,                                       ,                                6.779 ,                                      ,                             36.275 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
7248.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  304.029 ,                                 ,                                     ,                              ,               232.384 ,                                   ,                                        ,                                       ,                               73.044 ,                                      ,                             76.586 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
7266.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                 56.549 ,                                            ,                                        ,                          ,                  397.194 ,                                 ,                                     ,                              ,               266.313 ,                                   ,                                        ,                                       ,                              119.104 ,                                      ,                             93.644 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
7321.sql  ,                                77.043 ,                                     3.621 ,                                11.792 ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                             25.895 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
7624.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                  141.349 ,                  586.992 ,                                 ,                              75.612 ,                              ,                       ,                            12.970 ,                                 78.648 ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
8336.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                          49.833 ,                                          11.246 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                            15.100 ,                                        ,                                18.689 ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
8503.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                421.724 ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                              841.114 ,                                      ,                            829.988 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
8729.sql  ,                                42.514 ,                                     9.584 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                   25.287 ,                  104.991 ,                                 ,                              19.322 ,                              ,                       ,                             4.219 ,                                 10.639 ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
9422.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                             1233.000 ,                             2953.000 ,                                    ,                                             ,                    3083.000 ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
9453.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                  4.380 ,                                      1.760 ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                             2.148 ,                                        ,                                 1.528 ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                   4.259 ,                   2.046 ,                                 ,             6.306 ,                   2.194 ,                                 ,                        ,
9946.sql  ,                                94.491 ,                                           ,                                14.352 ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               34.270 ,                                      ,                             58.057 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
count     ,                                30     ,                                    12     ,                                 9     ,                                          2     ,                                          1     ,                                          1     ,                                                   1     ,                                           1     ,                                           1     ,                                 21     ,                                     11     ,                                  1     ,                   22     ,                   51     ,                           3     ,                              11     ,                        4     ,                23     ,                            18     ,                                 16     ,                                13     ,                               47     ,                                6     ,                             52     ,                                       1     ,                       1     ,                     1     ,                      3     ,                  11     ,                   6     ,                           5     ,            11     ,                  10     ,                           3     ,                  7     ,                      2
sum       ,                             24289.265 ,                                  1901.683 ,                               206.618 ,                                         58.458 ,                                        123.975 ,                                         58.170 ,                                                  54.756 ,                                          49.833 ,                                          11.246 ,                              11079.575 ,                                   3507.672 ,                                 20.708 ,                10568.666 ,               118688.668 ,                        3870.188 ,                             633.713 ,                      558.561 ,             22868.674 ,                           169.710 ,                                309.072 ,                               112.106 ,                            16809.612 ,                             3404.114 ,                          18702.566 ,                                       0.451 ,                    3083.000 ,                   364.593 ,                   2916.893 ,                 323.326 ,                  28.672 ,                           5.787 ,           442.600 ,                 216.376 ,                         438.043 ,                746.991 ,                   1351.570
geomean   ,                               187.840 ,                                    59.234 ,                                12.936 ,                                         17.486 ,                                        123.975 ,                                         58.170 ,                                                  54.756 ,                                          49.833 ,                                          11.246 ,                                162.727 ,                                     74.715 ,                                 20.708 ,                   83.489 ,                  420.501 ,                        1185.031 ,                              20.337 ,                       58.344 ,               304.508 ,                             4.466 ,                                  7.605 ,                                 3.348 ,                               87.507 ,                               38.412 ,                             89.317 ,                                       0.451 ,                    3083.000 ,                   364.593 ,                    814.694 ,                   8.751 ,                   2.394 ,                           1.052 ,            13.000 ,                   6.732 ,                         145.881 ,                 51.540 ,                    657.603
mean      ,                               809.642 ,                                   158.474 ,                                22.958 ,                                         29.229 ,                                        123.975 ,                                         58.170 ,                                                  54.756 ,                                          49.833 ,                                          11.246 ,                                527.599 ,                                    318.879 ,                                 20.708 ,                  480.394 ,                 2327.229 ,                        1290.063 ,                              57.610 ,                      139.640 ,               994.290 ,                             9.428 ,                                 19.317 ,                                 8.624 ,                              357.651 ,                              567.352 ,                            359.665 ,                                       0.451 ,                    3083.000 ,                   364.593 ,                    972.298 ,                  29.393 ,                   4.779 ,                           1.157 ,            40.236 ,                  21.638 ,                         146.014 ,                106.713 ,                    675.785
